Kérdés;Első válasz;Második válasz;Harmadik válasz;Negyedik válasz;0
Mi a neve a mélyen tisztelt rektornak?;Tevesz Gábor;Schobert Norbert;Alföldi György;Józsa János;4
Mi Potter teljes neve?;Albert Potter;Szűcs Ádám;Hairy Potter;Szűcs Dávid;2
Melyik tudományág foglalkozik a földön kívüli jelenségek megfigyelésével és magyarázatával?;asztrológia;ufológia;asztronómia;asztro-geológia;3
Mi Fekete Pákó új számának a neve?;Rózsaszállam;Jönnek a manók;Zsuzsi, Zsuzsi;Kígyók a parkettán;3
Melyik a legtöbb kredites tárgy ebben a félévben?;Analízis;Prog 1;Digit;Bsz;2
Hány megyei jogú városa van Magyarországnak?;Csak 1;19;23;20;3
Mikor élt Püthagorasz? (Körülbelül);Kr. e. 500;Kr. e. 1000;Kr. u. 200;Kr. e. 1500;1
Tankör kedvenc helye?;Móricz meki;Feneketlen tó;Egyetemisták partja;K234;2
Kit zavar ha a Q aulában tartanak tankörit?;Hassan;Rektor;Látesítményvezető;Kollégiumok vezetősége;3
Mikor kezdődik a vizsga időszak?;december 24.;december 21.;január 1.;január 3.;2
Hány hetes a szorgalmi időszak?;12;14;8;16;2
MIvel egyenlő a sh(x)?;(e^x - e^(-x)) / 2;1;1-ch(x);e^sin(x) / 2;1
Melyik tankörrel ismerkedtünk meg a G7-en?;I08;I01;V01;I13;2
Hány ölelelés egészséges naponta?;1;0;3;8;4
Milyen órán vagy?;Osztályfőnökin;Tankörin;Ez egy óra?;Lélektisztítás;2
Hány tétel van a bsz szóbelin?;10;21;24;100;3
Hány Martin van a tankörben?;0;1;2;3;3
Hogy hívják a színházat a K épületben?;Vörösmarthy;Antigoné;Xubidú;Szkéné;4
Korunk legminőségibb előadó művésze?;Dua Lipa;INNA;Stohl András;Fekete Pákó;4
Melyik függvény nem folytonos minden pontban?;tan(x) * cos(x);sin(x) / (1-x);1 - sin(1/x);1 - cos(x)*sin(x);2
Melyik tankörrell volt együtt BSZ konzi?;I08;I05;I02;I16;1
Hol volt a tankörsör?;Oportó;Lakat;Happy;Q aula;3
Hány zhtok van a félévben?;9;6;10;8;3
Mi nem feltétele a specializálódásnak?;Anál szigorlat;Első 2 félév minden kredit;Tesi aláírás;3 félév 20 kredit;3
Miből van megjánlott jegy?;Fizika;Analízis;Digit;Bsz;1
Milyen messze van a CH és a Q épület gyalog?;2 km;1,4 km;3 km;0,7 km;2
Melyik programon jártuk végig a campust gólyahéten?;Gólyatúra;Évnyitó;BMEx;Tesi tájékozatató;3
Mi Madagascar fővárosa?;Antananarivo;Budapest;Badsead;Manegaé;1
Milyen színű a koli?;Szocializmus;Kék;Szürke;Fehér;2
Mekkora egy R sugarú gömb térfogata?;3 * R^2 * PI^2;3 * R^2 * PI;4 * PI * R^3;4/3 * R^3 * PI;4
Mennyibe kerül az egyetmen a automatás kávé?;100 ft;110 ft;120 ft;130 ft;1
Hogyan mondod helyesen a szuvenírt?;Szuvener;Szivuner;Szuviner;Szvevevuner;3
Mi a kedvenc fizika képletünk?;e=mc2;W=F*s;v=s/t;E=1/2*mv2;3
Hol voltunk tankörsörön gólyahéten?;Egyetemisták parkja;Hősök tere;Móricz meki;Feneketlen tó;4
Milyen merch nem volt G7-en?;kulacs;kulcstartó;matrica;pohár;2
Mikortól hívják BME-nek az egyetemet?;1782;1777;1852;1949;4
Ha van barátnő nincs diploma?;Igen, igaz;Nem igaz;Az egyetem a szerelmem;Hassan foglalt :(;1
Tud e Eperke vezetni?;Nincs jogsija;Persze;Van jogsija, de nem;Nem akar vezetni soha;3
Hogy hívják a lézerprojekteket?;Black Magic;Pink Tornado;Blue Sky;Green Project;1
Hogy hívják a dékánt?;Charaf Hassan;Goldschimdt Balázs;Sujbert László;Gajdos Sándor;1
Mi Eperke kedvenc első féléves tárgya?;Prog;Analízis;Digit;Tesi;2
Mi az első program a gólya futamon?;Káposzta;Nevezés;BubiBuli;Földalatti hajsza;2
Mit reggeliztem reggel? (Potter);Szendvics;Gabonapehely;Almát;Semmit :(;1
De Morgan azonosság?;/a;b;/a * /b = /(a+b);a * b = /(a + b);3
Hol van eredetileg a tanköri?;E405;IB145;IB243;QBF15;2
Mi volt Euler teljes neve?;Jhon Euler;Leonard Euler;Fermat Euler;Jakob Emanuel Euler;2
Milyen színű a tankör?;Piros;Kék;Zöld;Valószínű;1
Hogyan számolod ki az ösztöndíj átlagot?;megszerzett kredit/30;kredit+jegy/30;összes tárgy kredit*jegyek/30;30+kreditek fele/BME 1-10ig értékelve;3
Miért nem volt Schámán gólyahéten?;Mert bírkózott;Nem érdekli a dolog;Nem hívták meg;G7-et szervezte;4
Félsz Potter?;Nem;Igen;Kitől?;Hagyjál békén;4
Ki írta a Himnuszt?;Dózsa László;Mikes Kelemen;Kölcsey Ferenc;Vörösmarty Mihály;3
